,document,expertise
12,Implement creative ways to improve our customer relationships and tailor and share online marketing strategy suggestions and and promote other Google products. Communicate with customers proactively and via phone and email. Provide strategic advice and help our advertisers get the best experience from their investment by working with them in a consultative role. Deliver consistently against strategic goals while prioritizing and delivering an outstanding customer sales experience to Google's advertisers.,"Experience in leading and motivating and working well with others. Demonstrated bias to teamwork, Interest in working toward strategic goals"
13,Develop and track core metrics across all Google Cloud products and including overall satisfaction and customer effort and net promoter score (NPS) and partner satisfaction and etc. Build and maintain reports and dashboards and metrics to monitor the performance of the program Apply quantitative analysis and data mining and data presentation to provide meaningful business insights to stakeholders (with support from data scientists) Provide insights that influence and drive actions/improvements across the customer journey Demonstrate ability to manage risks at the operational level to ensure smooth execution of survey launches,"Demonstrated ability to build strong relationships at all levels as a crossfunctional influencer, Ability to consistently deliver quality outputs in a high paced and dynamic environment and work through ambiguity and with an ability to work to tight deadlines"
16,Work as part of the Sales team to identify and qualify Platform opportunities and determine if Google Cloud Platform is right for them. Identify business and technical requirements and conduct full technical discovery and architect client solutions to meet gathered requirements. Take responsibility for leading the technical project and including such activities as technology advocacy and supporting bid responses and product and solution briefings and proof-of-concept work and and the coordination of supporting technical resources. Work hands-on with Google Cloud Platform products to demonstrate and prototype integrations in customer/partner environments. Travel frequently around EMEA for meetings and technical reviews and onsite delivery activities. Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations and product demonstrations and white papers and trial management and RFI response documents. Make recommendations on integration strategies and enterprise architectures and platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness.,"Ability to advise customers on how to collect data for a given problem and clean it and visualize it and extract features from it and choose the right type of learning algorithm, Ability to quickly learn and understand and and work with new emerging technologies and methodologies and and solutions in the cloud technology space"
17,Lead a team of software and systems engineers on cloud storage products used and enjoyed by users worldwide and be directly responsible for Google's stellar uptime record. Manage end-to-end availability and performance of mission critical services and build automation to prevent problem recurrence. Eventually automate response to all non-exceptional service conditions. Lead by example and care for your team and and establish credibility with the quality of your own and your team's technical execution. Manage on-call rotations across continents and using a follow-the-sun model. Design and write and deliver software to improve the availability and scalability and latency and and efficiency of Google's services.,Handson technical experience
18,Develop and implement global supply chain strategies. Manage suppliers to ensure material availability and readiness for the development builds and mass production. Serve as the escalation point for all supplier related issues in mass production. Understand component lead time and evaluate associated supply chain risks.,"Experience with commodities such as displays and touch and cover glass, Excellent communication and sourcing and consultation and collaboration skills, Ability to travel as needed"
19,Plan and coordinate and and deliver platforms hardware products. Lead creating and maintaining credible and data-driven schedules and milestones. Engage in technical and schedule tradeoff discussions. Manage teams through design and development and test and manufacturing and deployment and and sustaining activities for hardware products. Collaborate with engineering and operations teams to understand requirements and articulate the value proposition of engineering projects.,"Experience with ASIC methodologies and IP design and and leading tapeouts, Track record of successful execution within resource and schedule constraints, Ability to motivate and focus a large collaboration to reach challenging goals, Outstanding communication and facilitation skills"
20,Apply advanced statistical methods and work with large and complex data sets. Solve difficult and non-routine challenges and and clearly communicate highly technical results and methods. Interact cross-functionally with a wide variety of people and teams. Lead investigations into multiple streams of ads quality data.,"Relevant industry or research experience, Familiarity with experimental design principles, Ability to draw conclusions from data and recommend actions, Demonstrated willingness to both teach others and learn new techniques"
23,Develop and track core metrics across all Google Cloud products and including overall satisfaction and customer effort and net promoter score (NPS) and partner satisfaction and etc. Build and maintain reports and dashboards and metrics to monitor the performance of the program Apply quantitative analysis and data mining and data presentation to provide meaningful business insights to stakeholders (with support from data scientists) Provide insights that influence and drive actions/improvements across the customer journey Demonstrate ability to manage risks at the operational level to ensure smooth execution of survey launches,"Demonstrated ability to build strong relationships at all levels as a crossfunctional influencer, Ability to consistently deliver quality outputs in a high paced and dynamic environment and work through ambiguity and with an ability to work to tight deadlines"
24,Manage a global team of Technical Trainers. Grow the team to achieve staffing goals while ensuring high training standards are maintained. Optimize the performance of the Training team by ensuring the team has access to the necessary resources and assets and networks and tools. Ensure best training practices are shared across the global team. Work cross-functionally with the Curriculum Development team to ensure an effective feedback loop is in place between instructors and that team. Optimize delivery schedules to ensure alignment with business goals.,"Comfort with working in a fastgrowing and dynamic and ambiguous environment, Effective interpersonal skills and with the ability to work in a crossfunctional organization, Travel internationally as required"
25,Work with Partner Managers to identify and recruit partners in the market that can deliver innovative solutions to our customers and built on top of Google Cloud (Google Cloud Platform and G Suite). Develop our partners’ technical teams with both sales and technical competencies and so that they can be successful in the market. Keep partners up-to-date with product and technical knowledge and market differentiators. Work with partner technical representatives in opportunities and projects and complementing their skill and guaranteeing high quality customer deliverables. Advise on integration strategies and enterprise architectures and platforms and application infrastructure required to successfully implement a complete solution providing “best practice” advice to customers and partners to optimize Google Cloud effectiveness. Act as a technical advocate within Google for our partners in order to help provide feedback from the field and as well as to present on their behalf.,"Ability to craft a compelling message and tailor it for a given audience. Ability to mix deep technical expertise with simple and everyday language to deliver a story that is memorable and useful, Ability to quickly learn and understand and and work with new emerging technologies and methodologies and and solutions in the Cloud technology space"
26,Obtain and maintain an in-depth understanding of Google's product technology and architecture and implementation. Cultivate and transfer knowledge to Google’s support groups. Guide or perform design and implementation of new support and productivity or investigation tools in order to increase efficiency for the technical support process. Act as a consultant and knowledge base for Product Managers and Sales Engineers and Technical Account Managers and and Deployment Specialists and resolving technical deployment obstacles and improving the product's vision and making Google customers successful. Work closely with multiple Google Product Management and Software Engineering teams on understanding ways to improve the product. Interact with Quality Assurance (QA) teams to drive exceptional testing quality. Diagnose and resolve complex customer problems for the Google Chrome product area in an engineering support function and as part of a global 24x7 global team.,Demonstrated resourcefulness and attention to detail and with the ability to keep pace with rapid changes in enterprise products
28,Work as part of the Sales team to identify and qualify Platform opportunities and determine if Google Cloud Platform is right for them. Identify business and technical requirements and conduct full technical discovery and architect client solutions to meet gathered requirements. Take responsibility for leading the technical project and including such activities as technology advocacy and supporting bid responses and product and solution briefings and proof-of-concept work and and the coordination of supporting technical resources. Work hands-on with Google Cloud Platform products to demonstrate and prototype integrations in customer/partner environments. Travel frequently around EMEA for meetings and technical reviews and onsite delivery activities. Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations and product demonstrations and white papers and trial management and RFI response documents. Make recommendations on integration strategies and enterprise architectures and platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness.,"Ability to advise customers on how to collect data for a given problem and clean it and visualize it and extract features from it and choose the right type of learning algorithm, Ability to quickly learn and understand and and work with new emerging technologies and methodologies and and solutions in the cloud technology space"
29,Work with JAPAC Partner and Alliances Lead to develop the Go-to-Market strategy for the region. Build and lead a team of technical Partner Engineers across APAC and Japan. Identify and recruit partners in the market that can deliver innovative solutions to our customers and built on top of Google Cloud. Develop Partners’ technical teams advising on their technical business plan and readiness and so that they can be successful in the market. Keep them up to date with latest product and technical knowledge and be an internal technical advocate for them and to help provide feedback from the field. Engage with technical leadership parterns in large strategic opportunities and projects and complementing their skill and guaranteeing high quality customer deliverables. Travel up to 40% of the time as required and to visit partners across a defined geographic territory.,"Industry certification(s) from a cloud provider, Familiarity in one or more common web or mobile development language such as Java and Python and GO and PHP and Javascript and etc"
30,Oversee a sales program across office(s) and responsible for delivering appointments between prospective new advertisers and New Business Account Executives. Deliver training programs and execute process to maximize productivity. Implement and maintain an effective business rhythm.,"Experience planning and forecasting business goals and leading business reviews, Ability to navigate and operate across a complex and crossfunctional environment"
31,Work closely with our Sales team to identify and develop and and optimize new business opportunities and develop client relationships by leveraging Google products and technologies. Develop cutting-edge solutions as the technical lead and provide consulting services to our partners and build lasting relationships and be sensitive to client needs. Help partners in their day-to-day challenges by delivering innovative and scalable solutions and troubleshooting their issues. Propose and design and create and present prototypes and demos and proofs-of-concept to a wide variety of audiences and from engineers to marketing professionals. Perform implementation reviews. Advocate for new product features and and provide partner feedback to internal cross-functional teams including Product Management and Engineering. Travel as required to meet with specific partners/clients internationally.,Excellent problem solving and analytical and troubleshooting skills
33,Develop a key performance indicators (KPI) dashboard and competitive insights for use by Executive team to manage the business. Establish and lead operating processes and tools for effectively managing the organization and including actively tracking key trends in lagging/leading metrics. Provide insightful data-driven strategic recommendations to leadership. Communicate findings from initiatives to management and the broader organization. Partner closely with other functions relevant to the team and including Product and Engineering and Communications and PR and Marketing and Finance and Legal and Operations. Use cross-functional knowledge and seek to understand issues and trends and perspectives that may influence the business. Drive the Leadership team towards clear and efficient and accountable decision making. Distill and cascade core tenets of our strategy for board and leadership and other internal and external stakeholders.,Experience working with external Clevel partners and an understanding of consumer products including retail distribution
34,Guide partners and clients through the entire implementation process. Consult with stakeholders to define the project structure and requirements and priorities. Manage customer expectations of product delivery by establishing a trusted relationship and regularly communicating project status and requirements. Identify potential opportunities for service partner development and education. Investigate and track client concerns and collaborate to resolve any account issues. Work with other departments within GA360 to actively manage and resolve project-related issues.,"Experience using and/or deploying digital analytics and measurement solutions, Experience with SaaS model"
35,Work as part of the Sales team to identify and qualify platform opportunities and and determine if Google Cloud Platform is right for them. Identify business and technical requirements and conduct full technical discovery and architect client solutions to meet gathered requirements. Take responsibility for leading technical projects and including such activities as technology advocacy and supporting bid responses and product and solution briefings and proof-of-concept work and and the coordination of supporting technical resources. Work hands-on with Google Cloud Platform products to demonstrate and prototype integrations in customer/partner environments. Travel as required around EMEA for meetings and technical reviews and onsite delivery activities. Prepare and deliver product messaging in an effort to highlight the Google Cloud Platform value proposition and using techniques to include whiteboard and slide presentations and product demonstrations and white papers and trial management and RFI response documents. Make recommendations on the integration strategies and enterprise architectures and platforms and application infrastructure required to successfully implement a complete solution and providing best practice advice to customers to optimize Google Cloud Platform effectiveness.,Ability to quickly learn and understand and work with new and emerging technologies and methodologies and and solutions in the cloud/IT technology space
36,Develop and execute global supply chain strategies. Drive suppliers to ensure material availability and readiness for the development builds and mass production. Serve as the escalation point for all supplier related issues in mass production. Understand component lead time and evaluate associated supply chain risks.,"Experience with cable or connector commodities, Excellent communication and sourcing and negotiation and collaboration skills, Ability to travel as needed"
37,Coordinate and facilitate between internal teams to gain feedback and insight into agreements and initiatives. Advise business development and technology management teams and as well as legal on risks around technical solutions and service level commitments. Work with key stakeholders to create and draft and communicate implementation standards to facilitate smoother operations and improve decision making. Review and approve technical agreement terms.,"years of experience working with internet products and technologies, Experience drafting and reviewing and approving agreements and/or statements of work, Expertise in analytical and structured problemsolving operations, Excellent communication skills and attention to detail and with the ability to operate in a fastpaced and dynamic environment"
38,Work as part of the Sales team to identify and qualify platform opportunities. Identify business and technical requirements and conduct full technical discovery and architect client solutions to meet gathered requirements. Lead technical projects including such activities as technology advocacy and supporting bid responses and product and solution briefings and proof-of-concept work and the coordination of supporting technical resources. Work hands-on with Google for Work Cloud Platform products to demonstrate and prototype integrations in customer/partner environments. Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations and product demonstrations and white papers and trial management and RFI response documents. Make recommendations on integration strategies and enterprise architectures and platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness.,"Ability to quickly learn and understand and and work with new emerging technologies and methodologies and solutions in the cloud/IT technology space, Effective presentation skills and with the ability to deliver a technical pitch"
39,Align Googlers from multiple organization to deliver outstanding product and program outcomes. Drive the planning and execution of the software development programs and working closely with engineers and product managers and site reliability engineers and and other key stakeholders. Establish goals and schedule and milestones. Proactively manage dependencies and anticipate/resolve execution issues. Be the trusted owner of the status of your releases and programs. Drive visibility on progress/dependencies/risks/issues to executives and other stakeholders. Build strong partnerships across Google and leverage your credibility and technical acumen to drive process improvements and efficiencies that lead to better quality and increased velocity/productivity.,"Solid knowledge of software development best practices. Self driven and excellent interpersonal and communication and and crossfunctional leadership skills, Ability to interact with diverse technical and nontechnical audiences and spanning all organizational levels. Solid ability to focus on the shortterm priorities while retaining your strategic thinking and your longerterm foresight"
42,Provide Program Management support to Google Cloud Online Experience projects. Provide operational support for Online Operations including recruiting and space planning. Implement consistent reporting and tracking across Product teams and and track upcoming product launches and milestones . Partner in the development and roll out of communication and on-boarding programs. Support budget planning and ongoing tracking.,"Demonstrated ability to multitask and analyze opportunities and define effective approaches and and proactively overcome challenges, Ability to operate in an environment of ambiguity and create order and with a motivated approach"
43,Work as part of the Sales team to identify and qualify platform opportunities. Identify business and technical requirements and conduct full technical discovery and architect client solutions to meet gathered requirements. Lead technical projects including such activities as technology advocacy and supporting bid responses and product and solution briefings and proof-of-concept work and the coordination of supporting technical resources. Work hands-on with Google for Work Cloud Platform products to demonstrate and prototype integrations in customer/partner environments. Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations and product demonstrations and white papers and trial management and RFI response documents. Make recommendations on integration strategies and enterprise architectures and platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness.,"Ability to quickly learn and understand and and work with new emerging technologies and methodologies and solutions in the cloud/IT technology space, Effective presentation skills and with the ability to deliver a technical pitch"
44,Support the management of outsourced operations as well as workforce management in EMEA region. Achieve strategic business goals for vendor workforce in terms of customer experience and service levels and quality and delivery of service and cost. Monitor daily performance and collect and analyze data in order to recognize trends and potential issues across key performance metrics. Support vendor selection and agreements and overall vendor operations strategy and while leading regular business reviews and manage vendor relationships. Work closely with various internal groups to understand business requirements and implement new products or processes and participate in workforce planning and budgeting activities and and contribute to ongoing process improvements.,"Resource Planning experience in a multilingual and multisite and contact center environment, Strong business acumen with strong analytical and structured problem solving capabilities"
47,Write technical documentation for our external developer audience and such as API reference docs and developer guides. Design and organize documentation sets for new APIs and developer products. Edit and clarify and and proofread documents written by others and and coach non-writers on ways to improve their writing skills. Supplement developer documentation with relevant sample code.,Proficiency with HTML and CSS and a UNIX environment
49,Support operations and analytic projects related to the capacity planning and allocation and and fulfillment needs for compute and storage and and network resources. Work with partner teams to re-engineer process workflows around demand planning and supply planning and ordering and and fulfillment. Work with engineering to specify requirements and user test plans for software systems to support capacity planning and forecasting and modeling and and resource allocation/distribution. Coordinate projects across functional teams and business units to deliver features and releases within ambitious timelines. Play a key role in the advancement of strategy and policy and and supporting tools for operations.,Ability to understand and communicate complex technical concepts to a variety of audiences easily
50,Work intensively on a project basis with our clients in order to help them solve their measurement and attribution challenges and leading to extensive incremental business growth. Work closely with local Sales teams to open doors for clients. Scale your knowledge to the local Account Team so that they can scale this further to the rest of their accounts. Work closely with the EMEA-wide expert knowledge community to stay updated and contribute to excellent community knowledge. Strive to constantly increase your own knowledge and the knowledge of those around you. Build a thorough knowledge of how clients and agencies can use Google measurement solutions to meet their marketing objectives.,"Extensive experience with running online ad effectiveness tests and experiments, Experience working with attribution models, Advanced knowledge of Google Analytics and other analytics tools (e.g. Adobe and SiteCatalyst and Piwik etc.), Excellent presentation and communication skills"
52,Develop and track program plans and consult on solutions to technical problems and and communicate schedule and technical considerations to leadership. Support Software Technical leads in managing timing risks and bug tracking and conducting software performance analysis. Prioritize activities for quick execution of critical path work items. Understand and communicate engineering challenges and project strategy.,"Experience aligning multiple groups around a single objective, Familiarity in Coding (e.g. and C/C++ and Python and Java)"
53,Work with the team to identify and qualify business opportunities and identify key customer technical objections and develop the strategy to resolve technical impediments. Manage the technical relationship with Google’s customers and including managing product and solution briefings and proof-of-concept work and and the coordination of additional technical resources. Work directly with customers to demonstrate and prototype Google Cloud product integrations in customer/partner environments. Recommend integration strategies and enterprise architectures and platforms and application infrastructure required to successfully implement a complete solution using best practices on Google Cloud. Travel to customer sites and conferences and and other related events as required.,Ability to quickly learn and understand and and work with new emerging technologies and methodologies and solutions in the cloud/IT technology space
54,Implement and troubleshoot and support complex technical solutions with DoubleClick advertising products to drive customer success and product adoption. Understand requirements and provide technical consultation and develop custom technical solutions to meet the complex needs of advertisers. Contribute to product development by identifying gaps and deficiencies in current product offerings at a pod or product level to drive both operational efficiencies and business growth and collaborating with client services and product management and engineering teams to drive innovation. Build strong relationships with the sales team and end advertisers/agencies to understand their key challenges and present/implement scalable technical solution proactively to earn the status of trusted advisor.,"years of relevant experience overall as a technical consultant and/or sales engineer. years of experience in digital ad products (DoubleClick or competitive offerings), Experience building/troubleshooting web pages using HTML and JS and CSS and/or Chrome developer tools, Knowledge in scripting in one of the scripting languages such as Python/Google Apps Script"
55,Consult with customers on technical issues based on in-depth product and technical knowledge. Develop technical tools and documentation to expedite implementations and improve product serviceability. Act as a liaison for the engineering and product teams to commercialize solutions with partners and customers. Provide product solution improvements and market opportunities to Product Managers and Engineering. Provide highly technical implementation support in customer environment and including guidance on implementation feasibility of cross-product integrations.,"Experience in Google Cloud Platform and/or other public cloud products, Technical experience in Web technologies such as HTML and XML and JSON and OAuth along with experience in analysis of relational data in MySQL and Google BigQuery or similar"
56,Serve as point of contact for Partners and manage consistent and operationally efficient “Partner first” business practices to onboard and support our partners through their partnership lifecycle. Understand and propose the necessary systems and process changes to reduce friction for our partners and Sales teams. Contribute to the development of existing and future state Partner Onboarding activities and initiatives that develop ongoing touch points with Partners to increase their success with Google Cloud. Promote new initiatives and offers proactively to our partners in a scalable fashion that energizes our partner ecosystem.,Ability to collaborate and build relationships with individuals of varying levels of experience and department functions
57,Work as part of a Sales team to identify and qualify Platform opportunities and determine if Google Cloud Platform is right for them. Identify business and technical requirements and conduct full technical discovery and architect client solutions to meet gathered requirements. Take responsibility for leading technical projects and including activities such as technology advocacy and supporting bid responses and product and solution briefings and proof-of-concept work and and the coordination of supporting technical resources. Work hands-on with Google Cloud Platform products to demonstrate and prototype integrations in customer/partner environments. Travel frequently around EMEA as required for meetings and technical reviews and onsite delivery activities. Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations and product demonstrations and white papers and trial management and RFI response documents. Make recommendations on integration strategies and enterprise architectures and platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness.,Ability to quickly learn and understand and and work with new emerging technologies and methodologies and and solutions in the cloud/IT Technology space
58,Work with the team to identify and qualify business opportunities and understand key customer technical objections and develop the strategy to resolve technical blockers. Provide in-depth video and media expertise to support the technical relationship with Google’s customers and including product and solution briefings and proof-of-concept work and and partner directly with product management to prioritize solutions impacting customer adoption to Google Cloud. Work hands-on with customers to demonstrate and prototype Google Cloud product integrations in customer/partner environments. Recommend integration strategies and enterprise architectures and platforms and application infrastructure required to implement a complete solution using best practices on Google Cloud. Travel to customer sites and conferences and and other related events as required.,"Knowledge of compressed and uncompressed digital video and audio standards (H. and MPEG) and video architectures (RTMP and HTTP and RTSP and origins and cache and CDNs and dynamic ad insertion (DAI) and HLS and MPEGDASH and adaptive bitrate (ABR) and bit range requests), Understanding of web development protocols (i.e. HTML and AJAX and XML and JSON and RFCs / and /), Ability to quickly learn and understand and and work with new and emerging technologies and methodologies and and solutions in the cloud/IT Technology space. Effective presentation skills and with the ability to deliver a technical presentation"
59,Plan and implement the development of New Product Introduction (NPI) builds and ensure these products transition to production according to specific cost and quality and capacity goals. Lead cross-functional teams within Google and with external partners to prepare for production ramp and product transitions. Drive ramp readiness with internal teams as well as external partners (i.e. material availability and capacity readiness and transition plans). Drive cross-functional teams to optimize the supply chain for specific strategic reasons and while accounting for risks and changes in schedule or demand. Provide support for products in a sustaining environment.,"Experience in multiple aspects of hardware operations, Effective analytical and quantitative reasoning and problem solving and creativity and strategic skills"
60,Work with the team to identify and qualify business opportunities and understand key customer technical objections and develop the strategy to resolve technical blockers. Provide in-depth video and media expertise to support the technical relationship with Google’s customers and including product and solution briefings and proof-of-concept work and and partner directly with product management to prioritize solutions impacting customer adoption to Google Cloud. Work hands-on with customers to demonstrate and prototype Google Cloud product integrations in customer/partner environments. Recommend integration strategies and enterprise architectures and platforms and application infrastructure required to implement a complete solution using best practices on Google Cloud. Travel to customer sites and conferences and and other related events as required.,"Knowledge of compressed and uncompressed digital video and audio standards (H. and MPEG) and video architectures (RTMP and HTTP and RTSP and origins and cache and CDNs and dynamic ad insertion (DAI) and HLS and MPEGDASH and adaptive bitrate (ABR) and bit range requests), Understanding of web development protocols (i.e. HTML and AJAX and XML and JSON and RFCs / and /), Ability to quickly learn and understand and and work with new and emerging technologies and methodologies and and solutions in the cloud/IT Technology space. Effective presentation skills and with the ability to deliver a technical presentation"
61,Build consistent offerings to energize the market and ecosystem to partner with Google. Design a compelling partner experience and management model for ensuring our partners are provided an effective partner experience invested in their growth with GCP. Oversee on-line communities and Partner Advisory Councils and focus groups.,Experience with Partner Advisory Councils and Partner Focus Groups worldwide
62,Collaborate with Sales/Partner leads and technical stakeholders to translate complex customer requirements into recommendations for appropriate solution architectures. Work with customer technical leads and client executives and partners to manage and deliver successful migrations to cloud solutions. Create programs and template solutions to achieve scalable impact across the customer and partner ecosystem. Understand customer needs and help to shape Google’s long-term product strategy. Travel internationally up to 30% of the time to clients and customer's locations.,"Experience reading software code in one or more language such as Java and JavaScript and Python and etc, Ability to work in a crossfunctional and geographically dispersed team as well as evolving and ambiguous environments"
